,0
4016,그쵸!! 루돌프랑 산타 컵받침 너무 귀여워요❣️ 장식용으로도 너무 잘 어울리고용ㅎㅎ 주디쌤에게도 크리스마스 이브 날이 행복한 날 되셨으면 좋겠어요!! 메리크리스마스🎄
4017,어머 컵받침대가 너무 귀여운거 아닌가요 ㅠ 진짜 십자수 한번 집중해서 하면 시간 가는 줄 모르고 하죠 ㅠ 인정!
4018,ㅎㅎㅎㅎㅎ만들면서도 귀여워서 웃음 나더라고요!! 보석십자수 정말 한 번 시작하면 끝을 봐야한다는 생각에 시간 가는 줄 모르고했네용😂 너무 재밌는 경험이었어요!
4019,우와 어릴때 십자수는 해봤는데..보석십자수는 처음봐요!!!😆루돌프랑 산타 너무 귀여워요~!!❣❣아까워서 우째써요ㅜㅠ진짜 장식으로 둬야겠어요🤣전용펜은 뭐에요!??콕 찍었는데 어떻게 붙어있는건지 궁금하네욯ㅎㅎ신기방기
4020,ㅠㅠㅠㅠㅠㅠㅠ그쵸!!! 진짜 떼 탈 거 생각하니까 너무 아깝더라고요ㅠㅠㅠ 그래서 아직도 제 방에 있어요 ㅋㅋㅋㅋㅋㅋ 전용펜에다가 고체풀 집어 넣어서 하는 방식인데 저도 엄청 신기하더라고요❣️ 크크 부족한 제 작품이지만 귀엽다 해주셔서 감사해용!!!!
4021,보석십자수가 아이들만 하는게아니라 이렇게 공방이 있는줄몰랐네요  이뻐요 ~~~~
4022,저도 공방은 처음 가봤는데 역시 단골 손님들이 하시는 건 진짜 작품이더라고요❣️ 보석십자수의 매력에 풍덩 빠져오는 날이었어용ㅎㅎㅎ
4023,진짜 너무 잘만드셨는데요?! ㅎㅎ 사장님이 만드신거랑 똑같아요!! 👍
4024,어머!!! 순서대로 비즈 박으면돼서 어려움은 없었지만 사장님의 것과 똑같다는 칭찬을 듣다니❣️감사합니당ㅎㅎ
4025,보석십자수샵이 있군요~ 인터넷에서 재료사서 혼자하는것보다 이렇게 샵이 있으면 물어보면서 하고 재밌을것같아요^^
4026,그쵸!! 저도 보석십자수샵이 있는 건 이번 기회에 알게되었는데 생각보다 모임도 끈끈한 거 같고 너무 좋더라고요❣️
4027,묭님도 너무 잘만드셧는데요!!! 크리스마스에 딱인 코스터군요 ㅎㅎ넘 귀여워요 ㅜㅜ ♥️ 날이 많이추워요!!감기조심하시고 메리크리스마스♥️
4028,ㅎㅎㅎ칭찬 감사해요❣️ 예니님도 감기 조심하시고 즐거운 크리스마스 날이 되셨으면 좋겠어요!!!! 메리크리스마스🎄
4029,우와 이런곳이 있다니! 요즘따라 취미로 보석십자수 하시는 분들이 은근 많더라구요 ! 그래서 너무 궁금했는데 ㅎㅎㅎ !! 색다른 데이트로도 좋을것 같아여! 😍
4030,우와 진짜 데이트 장소로도 너무 좋을 것 같네요❣️ 키링 같은 거 서로 만들어주고 가방 같은 곳에 걸면 너무 귀여울 거 같아요!!
4031,우아!  솜씨 좋으신데요?^^ 산타 너무 귀여워요~^^ 힐링되는 시간이였겠어요~^^
4032,ㅎㅎㅎ칭찬 감사합니당!! 산타 정말 귀엽죠?!? 크리스마스 분위기가 물씬 나서 좋더라고요🥰
4033,포스팅 잘보고 갑니다. ^^ 오늘도 화이팅 하시기 바랍니다. ^^
4034,진실여포님도 좋은 저녁 되셨으면 좋겠어용~~ㅎㅎ
4035,나만의 컵받침 좋은데요~
4036,너무 예뻐요 저는 딸래미가 좀 더 커야 해볼 여유가 생기겠지여 ㅠ
4037,"깔끔한 포스팅 배우고가요
자주오고 싶어 서이추 신청합니다
감사합니다"
4038,"파란 잘 보고 갑니다.
좋은 하루 보내세요:)"
4039,행복으로 가득한 하루 만드기실 바랍니다.포스팅도 잘 봤어요! 또 올께요~!
4040,공감하고 갑니다~~~!
4041,포스팅 잘 보고 갑니다 파란님~ 좋은 이야기들로 소통하고 싶어 이웃신청드렸습니다 :) 편안한 밤 되세요!
4042,보석십자수 구매 문의에 답글을 달지 않습니다제 블로그에서 '보석십자수 판매' 글을 참고하거나 트위터에서 검색해보십시오
4043,예쁘네요 퀄리티도 괜찮고! 만4세가 하기엔 아직 무리겠죠....? 조금 크면 해봐야겠어요 넘 예뻐요 ㅋㅋ
4044,울 남매도 도전해야겠어요~
4045,안녕하세요~저는 자매맘이에요^^포스팅 잘보고갑니다 제 블로그도 들려주세요~('▽')
4046,포스팅 잘보고 갑니다
4047,조명이라 더 예쁘네요ㅎ
4048,잘다녀갑니다 즐거운저녁되세요~~~
4049,잘 보고갑니다 !
4050,금손이세요👍👍🙊
4051,감사합니다 ㅎㅎ!!
4052,작은거하는데도 힘들던데  대단하세요  잘보구갑니다!!!
4053,집에만 있다보니 금방 하게 되더라구요 ㅎㅎㅎ
4054,어머 금손 같아용 제가 지금 작품 하나 하는데 한번 해보실래요 해바라기 작품 인데 이뻐요 ㅎ그리고 쉬운거 찾으 실려묜
4055,해바라기 그림이 집에 있으면 좋다고 해서 마침 고민중이었는데 주문해야겠네요 ㅎㅎㅎ!
4056,이거 추천 해드릴게용^^ ㅎ
4057,이것도 귀여워서 킵해놔야겠어요 ㅎㅎ
4058,이거 초보자 용인데 그리고  저거 고양이 말고도요 아래 강아지도 있는데 저는 이것 펜넬형 이라서 편했어용 ㅎ저 초보 고양이도 이젤 받아서 한거 같아용
4059,얼른 지금 있는거 다하고 또 주문해야겠네요 ㅎㅎㅎ
4060,헉 정말 대단하시네요~저도 해봤는데 목이랑 눈이 넘 아프더라구요ㅜㅜ정말 금손이신 것 같아요~좋은 포스팅 잘 보고 갑니당!
4061,좋게 봐주셔서 감사해요 ㅎㅎ오늘도 좋은 하루 되세요!
4062,취미는 정신치료란 말씀 깊게 동의하는 바입니다. 짝짝짝
4063,진짜 취미가 없었다면 지금의 저도 없었을거에요 ㅎㅎㅎ
4064,대항해시대 보석십자수 도전중입니다.
4065,와~~^^ 멋있어요~~^^완성된 작품이 보고 싶어져요~~^^
4066,이럴수가...야외에서의 십자수라닛!!너무 좋아보여요~~
4067,"저도 십자수할 때, 불규칙적으로 자고, 배달음식 시켜먹고.. 애들 잘 못챙기고 했었는데..그래도 아침에 일찍 일어나지더라구요.. 이거할라고..ㅎㅎ원래는 잠에서 깨도 일어나기 싫어서 최대한 뒹굴거리다 일어나거든요..그래서 알았죠..아..일어나봤자 별로 재밌는게 없으니까 아침에 일어나기가 싫은거였구나..하구요~빨리 완성된거 보고싶네요~ ㅎㅎ"
4068,"아, 그렇군요^^ 일어나봤자 재밌는 일이 없어서~~^^저도 그랬나봐요^^ 저도 얼른 완성하고 싶어요 ㅎㅎ이제 10%정도만 하면 완성이다보니 이거 끝내면 또 하고 싶어서 다른 거 기웃거리며 어쩌나.. 걱정이 듭니다~~^^"
4069,저도 기웃거릴까봐참고 있어요 ㅎㅎ
4070,"저도 완성하고나니 손이 근질근질~~^^ 기웃대면 안되는데, 자꾸 다른 거 하고싶어져요~~^^"
4071,"그니깐요😆전 블로그에도 썼지만, 젠탱글 이란 거에 빠져 마비까지 왔던 경험이 있었거든요. ㅎㅎ"
4072,"젠탱글, 이웃님이 하신 거 잠깐 봤었어요^^스멒언니님의 젠탱글도 궁금하여 보고 왔지요~~^^넘 멋있네요~~!! 손가락마비ㅜㅜ 우리 건강하게 조심조심 좋아하는 일 해요~~^^"
4073,
4074,와. 생각보다 엄청 크네요..!!그런데 이거 비즈 하나씩 떨어지진 않나요? 한 번 해보고싶네영 >ㅁ<
4075,네 크져ㅎㅎㅎ!중간중간이랑 다 하고 나서도 무거운 책으로 눌러줘서 떨어지진 않았어요ㅎㅎ
4076,잘보고갑니당 *___*
4077,ㅋㅋㅋㅋㅋ저 이거 해바라기 40x30사이즈 햇다가주말에만...정말 할거없을때만 하려고 야금야금 하다가중독걸려서퇴근하고 짬짬히해가지구 일주일만에 완성..ㅋㅋㅋㅋㅋㅋㅋ근데 확실히 멀리서 봐야 이쁜거가타여...ㅠㅠ가까이서 보면..영. ..🥲
4078,ㅋㅋㅋ중독성 장난아니져저는 하면서 하도 봐서 그런지 이상한지 모르겠어욬ㅋㅋㅋ또하고 싶네요ㅠㅠ
4079,반가워요~^^ 좋은하루되세요
4080,우아 진짜 대단해여👏🏻👏🏻👍🏻완성작 너무너무 이뻐영보기만 해도 눈알 빠지겠어요ㅋㅋㅋㅋ
4081,아유 뻐근해서 죽는줄 알았어요ㅠㅠㅋㅋㅋ근데 완전 뿌듯하고 넘 재밌더라구요!!
4082,우와 넘 예뻐용~~ 진짜 영화 업 생각나는걸요? 저도 이런거 보면 계속 집중하느라 시간가는 줄 모르는데 눈은 아프지만ㅋㅋㅋㅋㅋ그쵸?
4083,네네 저도 업생각났어요!ㅎㅎㅎ맞아여 눈도 그렇고 어깻죽지도 뻐근한데 중독성이 너무 강해서 탈이에요..ㅠㅠ
4084,어머 이거 진짜 예쁘네요!
4085,저희집도 요즘 이거 하느라 정신없네요ㅎㅎ완성되어가는 걸 보니 뿌듯하고 재밌더라구요~포스팅 재밌게 잘 보구 갑니당~^^요즘 날씨가 제법 쌀쌀해졌는데이럴때일수록 건강관리 잘 하시구용~우리 소통하며 지내요 > <제 블로그도 놀러와주세용~ ๑ᴖ◡ᴖ๑
4086,대박 ㅋㅋ 이런거 한번 시작하면 끝을 봐야할 거 같아요진짜 완성작 너무 예쁘네요 잡생각안하고 집중할 수 있는 작업이라 좋을거 같은데눈아프게 얼마나 힘드셨을까 싶기도하고 ㅎㅎ그래도 완성작보니 뿌듯하셨을 거 같아요!
4087,쭈야님은 진짜 금손!!!!어쩜 이리 곧잘 잘하시나여!^^
4088,저희집도 요즘 이거 하느라 정신없네요ㅎㅎ완성되어가는 걸 보니 뿌듯하고 재밌더라구요~포스팅 재밌게 잘 보구 갑니당~^^요즘 날씨가 제법 쌀쌀해졌는데이럴때일수록 건강관리 잘 하시구용~우리 소통하며 지내요 > <제 블로그도 놀러와주세용~ ๑ᴖ◡ᴖ๑
4089,정성스럽게 쓰신 글에 공감 꾹꾹 누르고 갑니다♥ 비가 왔는데도 정말 덥네요 ㅠ 폭염 이겨보자구요!
4090,와 디게 정교하고 이뻐요!!!해봐야겠어요
4091,진짜 예쁘죵~^^
4092,"글 잘보고 갑니다,, 깍쟁얌치님 ^^
소통하고지내요~~"
4093,넘 예뻐용! 다이소에 갔더니 요런거 작은게 있어서 해봤는데 아이와 시간가는줄 모르고 한거 있죠 ㅎㅎ 이렇게 큰것도 해보고 싶으네요^^
4094,네 맞아요. 아이들도 잘 하더라구요~^^
4095,이야 진짜 한땀한땀이네요. 전 못할것같지만..  완성작보니 퀄도 좋고 너무 예뻐요. ㅎㅎ
4096,퀄리티 진짜루 좋답니다.
4097,우와! 정말 정성이 느껴지네용ㅎㅎㅎ
4098,반짝반짝하니 이뿌네요 ㅎㅎ
4099,허억 ㅠㅠ너무이뻐 ㅠㅠ전근데 못하겟어요 ㅋㅋㅋㅋ 눈안빠지나요 ㅠㅠㅠ인내력대박이시네용 ㅠㅠㅠ 요런 작은건 눈이침침해서리 ㅠㅠㅠ 집중력과 인내 대박이십니당!!
4100,보석십자수 한거 보니 되게 이쁘던데 ㅎㅎ아 하나하나 이렇게 붙여야한다니ㅠㅠ눈 빠지겠는데요ㅠㅠ저도 해보고싶은데 ㅎㅎ알라딘은 고난이도네요 ㅎㅎ
4101,"포스팅 구경왔습니다 ^^ 
잘 보고 가요~~"
4102,으와. 진짜 이뻐요! 작품!!!!저거 하다보면 진짜 시간가는 줄 모르겠어여~전 둘째 보느라 시간 가는 줄 모르는데 ㅎㅎㅎㅎㅎ 비슷한 건데. 제가 더 힘든 노동같다능요 ㅎㅎㅎㅎ
4103,소통하고 지내고 싶어요~ 공감누르고 갑니다^^
4104,"블로그 잘 보고가요~
깍쟁얌치님 즐거운 하루 되세요 ^^"
4105,"블로그 구독했어요
깍쟁얌치님 상쾌한 하루 되세요 ^-^"
4106,아이러브페인팅 보석십자수 디쟌 넘 이뿌네용~~^^아이방에 놓기 딱 좋은걸요?저도 태교로 보석십자수 했었는데 시간가는줄 모르고 빠져들더라구요~^^ ㅎ
4107,와...우리 첫째아이에게 선물해주면 엄청 좋아할것 같아요!
4108,너무 예쁘게 잘하셨네요👏👏💗
4109,울 딸애미 여즘 보석 십자수에 꽂혀서 작품을 몇개나 만든지 몰라요 ㅋㅋㅋ이제 좀 큰 거 해보고 싶다는데 알라딘도 넘 멋지네요여기 사이트에서 조카주려고 BTS꺼 주문했눈데 알라딘도 해야겠어요
4110,"오ㅡ 보석십자수 왤케 예뻐요? 만들어서 집에 걸어놓으면 뿌듯할 것 같아요ㅎㅎ뭔가 생각 많은 날, 오롯이 비즈 붙이며 집중하면 잡생각도 사라질 것 같아요. 좀 작은 사이즈로 도전해봐야겠어요^^"
4111,일반 십자수 한게 엊그제 같은데 보석십자수니 더 블링블링하고 결과물에 만족도 높을거 같아요 작품이 또하나 나오는군요^^
4112,저도 똑같은 걸로 하고 잇어요!! 자스민 입술 전까지 했는데 자꾸만 더 하고 싶은 거 있죠... 중독이에요 중독ㅠㅠ 이번 주 안에 끝내는 게 목표입니다
4113,저희집도 요즘 이거 하느라 정신없네요ㅎㅎ완성되어가는 걸 보니 뿌듯하고 재밌더라구요~포스팅 재밌게 잘 보구 갑니당~^^요즘 날씨가 제법 쌀쌀해졌는데이럴때일수록 건강관리 잘 하시구용~우리 소통하며 지내요 > <제 블로그도 놀러와주세용~ ๑ᴖ◡ᴖ๑
4114,아 이것은...! 한창 핫했던건데 집콕할때 많이하더하고요 ㅋㅋㅋ완성하면 정말 성취감있을듯
4115,맞아요 ㅎㅎ 해보니까 너무 잼있더라구요 ㅋ 완전 제스탈 취미생활을 찾았어요! ㅋ
4116,우와 너무이뻐요 시간 순삭학거가타요ㅠㅠ
4117,집 인테리어로두 좋을거같아오
4118,우와 재밌어 보여요디지니 해보고 싶네요다이소 가봐야겠어요
4119,저도 스위스 완전 일순위요ㅠㅠㅠㅠ 완전 재밌어보여요 보석십자수라니! 다이소 들러봐야겠어용😆😣😁
4120,저도 보석십자수 덕후인데!!여기서 만나니 반갑네요ㅎㅎㅎ
4121,다이소엔 진짜 없는게 없네요 ㅋㅋ
4122,"우와,,, 이번 겨울동안 취미로 뭐 할 거 없나 했는데 십자수로 하면 딱이겠네요.ᐟ.ᐟ 넘 금손이셔요 잇님 ♥️"
4123,집에 인테리어로 해두기 좋네요!
4124,저는 핸드폰에 붙이는 작은 보석 샀어요! 큰게 예쁘네요~~
4125,보석십자수잼나요!! 저도 아리랑가끔한답니다!!
4126,저 보석십자수 한번도안해봤는데 넘나해보고싶네요:)
4127,종강해서 심심했는데 시간때우기완전 좋을 것같아욯ㅎㅎ👍👍
4128,"보석 십자수 너무 이쁘네요~~이거 하고 있음 집중해서 잡 생각도 안들고 결과도좋고,,,취미로 좋겠어요 ^^"
4129,다이소에서 파는것치고눈 도안도 이쁜데여? ㅋㅋ집콕할때 하면 시간잘가겟어용!
4130,역시 다이소에는 없는게 없네용 ㅎㅎ오늘도 잘 보고갑니당 ^_^
4131,이거 해보고싶었는데 다이소에도 팔았군용ㅎㅎ
4132,대박 너무 예뻐요 ㅠㅠ 아기자기해요 보석십자수 해보고싶었는데 당장 다이소 달려가야겠어요 ㅎㅎ !!
4133,저 이거 하다가 포기했는뎅 ㅠㅜ대단하세여 ㅎㅎ
4134,저도 스위스 정말 가보고 싶어요!다이소 십자수로 위로해봐야겠어요ㅜㅜ
4135,인테리어 소품으로 딱이네용🤭🤭
4136,너무이쁜데요!!! 저런거 하면 시간도 잘가고 집 한켠에 전시 해놓으면 넘 이쁘죠ㅜㅠㅠ
4137,우와 넘 예뻐요!!!! 재미있겠어용 ㅎㅎ
4138,오 다이소에 이렇게 이쁜아이가 있엇어요 !? 해보니까 되게 재밌었거든요 !! 왜 우리집 앞엔 이케 이쁜 인테리어 소품이 되는 보석십자수는 없는것인가 .. 부러워요 !! 이쁘다이쁘다
4139,실로 된 십자수는 많이 해봤는데 보석십자수라니 +_+ 넘넘 예쁘고 귀여운데용!!
4140,와우 !! 보석십자수 하다가 눈빠지는둘알았는데 ㅎㅎㅎㅎ 이뻐용
4141,"전 예전에 조카 얼굴, 친구 딸래미들 얼굴 십자수 도안으로 뽑아서 쿠션으로 만들어줬었어여ㅎㅎ"
4142,보석십자수 재미있죵^^저도 캔버스로 한번 해봤어요~~
4143,우왓 보석십자수는 처음이에요!! 2000원의 행복 크으
4144,취미생활로 좋을 듯 해요 ㅎㅎ
4145,"보석 십자수 궁금했는데, 다이소에서 사서 입문 해봐야겠어요>_<"
4146,십자수 넘 이쁘네요ㅎㅎㅎ
4147,다이소에도 은근 재미있는거 많네용><ㅎㅎㅎ
4148,저도 창고에 있는 보석십자수 다시 스믈스믈 꺼내봐야겠어요..ㅋㅋㅋㅋ
4149,우왕 십자수! 넘 귀여워욤 ㅎㅎㅎ
4150,오 취미로 집에서 하기 너무 좋을것 같네요 ㅎㅎ
4151,취미로 쉬엄쉬엄하기 참좋을거같애용!
4152,넘 재밌어보이는데 ㅋㅋㅋ저 아는언니는 눈알빠질것같다고 하더라구요 !!^▽^
4153,와 너무 이쁜데요!저도 하나 사봐야겠어요!
4154,우와 암스테르담 십자수 넘나 예쁜데 어케 완성하는거에요?전 뭐 뜨는건 초반 좀 하다가 신경질내며 던져버림요ㅠ(인내심없는1인 여기있어용)
4155,"캔버스로 사는게 벽에 기대어 두기도 좋고 그런거같아요 ㅎㅎㄹ 오래오래 할수 있고,,"
4156,우와!! 보석십자수 넘재밌을꺼같아요 ㅎㅎ 시간가는줄 모르겠어요 ㅎㅎ
4157,집 인테리어로도 두면 넘 예쁠거 같아요 ㅎㅎ
4158,간단하게 가지고 놀기 참 좋을듯 해요! ㅎㅎ 가격도 부담스럽지않구..!
4159,다이소 보석십자수 넘 괜찮죠!! 할때는 눈알 빠질거같은데 하고나면 뿌듯해용😆😆💕💖
4160,이거 우리 아이가 시간가는줄 모르고 하는 놀이네요~
4161,우와아 보석십자수 한번도 해본적 없는데 너무 귀엽네용 ㅠㅠ
4162,ㅋㅋㅋ 진짜 이건 시간 순삭 각이네요 !!
4163,이거 제 친구들도 많이 하던데 ㅎㅎ 저는 끈기가 없어서 못 하고 있습니다ㅠㅠㅠ
4164,왘ㅋㅋㅋㅋ 십자수 진짜 오랜만에 보는거같아요!!티비보면서 하면 시간 진짜 잘갈거같아여 ㅋㅋㅋ
4165,우왕 보석십자수! 완성본 너무 이쁜데 저는 아마 현기증나서 못하겠쮸..
4166,요즘 취미로 하기 너무 좋은 것 같아요~~ 완성작품이 넘 예쁘네요! 가성비 짱 !
4167,저 예전에 욕심부렷다가 엄청 큰거사서 하지도 못햇잖아요 ㅠㅠ 저거 눈알 빠져요 흑흑
4168,오오 ㅎㅎㅎ 저도 이거 한번 사봐야겠어용!! ㅋㅋ 보석 십자수 +_+
4169,보석십자수 진짜 너무 어려워요 ㅠㅠ 저는 큰거 했다가 죽다 살고 끝내 못 했는데 ㅎㅎㅎ 해 놓으니까 이쁘네요
4170,와 근데 거짓말아니구 진짜 예쁘네요 초딩떄 십자수 주구장창 했었는데 ㅋㅋㅋㅋㅋㅋ
4171,제일처음사신 보석십자수 캔버스그림 너무이쁜데요? ㅎㅎ완성해서 액자에 걸어도 이쁠 거 같고 확실히 다이소가 가성비템 넘쳐나서 너무 좋은거 같아요~
4172,다이소 진짜 가성비 최고여..👍👍 그리고 캔버스에 하시느보석십자수 너무 이뻐요💖💖💖
4173,완성하면 소중한 보물이 되겠어요 ^^  한땀한땀 ^^  장인의 정신 ! ^^  고르신 디자인들도 멋진 그림들만 쏙쏙 뽑아 골르셨네용 ^^
4174,우와 대박예뻐요 .. 저는 애기들 장난감용으로 한번했었는데 대박 이런그림들이 더 예쁜거같아여 ㅠㅠ!!
4175,작은사이즈의 보석십자수만 두어개 해보았는데... 좀 더 큰사이즈의 풍경십자수 너무 멋있는데요~~^^급 해볼까? 고민하게됩니다~~:)
4176,풍경십자수 저는 추천합니다 알라딘님~ 솜씨도 좋으시니 금방 완성하실것 같아요 ㅎㅎ 넘 재밌어요~~
4177,대작을 두개나 완성하셨네요~ ㅎ반짝임이 주는 매력이 색다른 듯... 예뻐서 두세번 봤어요.저두 홍콩 가고 싶네요~ 그런 날이 빨리 오길...
4178,총 3개 했답니다 ㅎㅎ 저도 해놓고 예뻐서 자꾸 보게 돼요. 새해에는 모두 마음 편히 다닐 수 있는 날이 빨리 오면 좋겠어요 ^^
4179,헐 저두 해주세요~~~ 넘 귀여워요~~~
4180,어머어머 조아요~~~
4181,"뽁이님 안녕하세요. 

글 잘 보고 갑니다~~~

좋은하루 보내세요~~

소통하며 지내요~~~!!!!!!!!!!

오늘 하루 세상에서 가장 행복한 주인공이 되시길 기원합니다 ^^"
4182,"뽁이님 안녕하세요.

글 잘 읽었어요~~~

행복한 하루 보내세요!!

소통하며 지내용~~~"
4183,헉.. 저도 방금https://smartstore.naver.com/saero/products/5082022665여기서 구매했는데 어떤 모습일까 기대돼서 찾아왔어요!!!
4184,제거보다 사이즈가 훨씬 크네요~완성하면 엄청 이쁘고 뿌듯하실거예요^^
4185,눈팅 잘 하고 갈게요~ 또 놀러올게요!ㅎㅎ
4186,와우중독성있겠는데?재밌어보인닷
4187,쏘이맘님 보석십자수 방탄소년단 V 집콕놀이 글 잘보고 갑니다 ㅎㅎ!
4188,"보석십자수 한번도 안해봤는데 재밌어보여용ㅎㅎ 꼼지락 거리는거 참 좋아합니당ㅎㅎㅎ❤️ 미키가 깔끔하고 예쁜데 하고 보다보니 해바라기도 쨍하고 예쁜데용?❤️ 해바라기가 돈을 불러온다던데 따님 그림이 복을 불러오길,,❤️❤️❤️ 좋은 하루 되세용ㅎㅎ"
4189,맞아요. 해바라기가 돈을 불러온다고 하더라구요~ 제발🙏🙏🙏
4190,저 보석십자수 넘나좋아하는1인ㅠㅠㅠㅠ
4191,저두요 저두요😀😀😀
4192,보석 십자수를 하면 시간 가는줄 모르겠는데요머리 회전에도 좋을 듯 저도 저녁이면 해보고 싶다는 생각이 은근이 욕심이 생기는데요견본을 딸아서 하는건가요?
4193,네에. 도안대로 비즈만 붙이면 되는거라 진짜 쉬워요:)
4194,상품은 어디서 팔죠?
4195,보석십자수라고 검색하면 쭉 나와요~~
4196,예쁜 작품이 완성됐네요~~!이사했을 때 지인이 커다란 부엉이를 보석자수로 선물해줘서 벽에 걸어놨어요~^^
4197,우와 선물로 받으셨군ㅇ~^^
4198,보석십자수 많이 하시더라고용 .. 저는 차분하질 않아서 .. 할 수 있을지 .. ㅎㅎ
4199,이게 하더보니 매력있더라구요^^
4200,선물용으로도 좋겠네요
4201,네에. 해놓으면 넘 예뻐서 인테리어로도 굿이랍니다.
4202,힐링하기 좋은 아이템 인거 같아요~~~
4203,집에 4개 더 있는데얼른 해야겠어요 ㅎㅎ
4204,저도 함 해보려구요 ㅋㅋㅋ 근데 이거 그냥 검색해서 사면 되요?
4205,네 ~  보석십자수라고 검색하면 종류 엄청 많아요^^
4206,네~~감사합니다
4207,십자수는 한번도 해본적 없는데 너무 이쁘서 혹했어요!!예쁜글 잘 봤어요^^
4208,기존에 실로 하던거랑 다른데더 쉽고 퀄리티도 좋은거있죠:)
4209,"보석십자수, 코로나 집콕 취미로 요새 핫하더라구요.저도 해보고 싶어서 알아보던 참인데 ㅎㅎㅎ완성까지 해서 올려주신 포스팅은 깍쟁얌치님꺼가 첨인 것 같아요."
4210,저 보석십자수 포스팅은 꽤 했거든요 ㅋㅋ완성된것만 항상 올렸는데나머지는 언제 다하구 올릴지 모르겠네요^^
4211,우리 첫째딸이 요즘 십자수를 참 좋아하는데... 하나 장만해줘야 겠어요 ^^
4212,진짜 넘 잘할거에요~^^
4213,기나긴 하루 시간 보내긴 딱일듯 ㅎㅎ그런데 눈이 한쪽으로 몰려들듯해요. ㅎㅎㅎ 아이랑 함께여서 좋을거 같구집중력 향상도 될듯하게요.잘보고 갑니다.
4214,맞아요. 눈과 어깨에 고통이 옵니다 ㅎㅎ
4215,우와 전 이런거 소질없는데 하고 싶긴 하네요~!
4216,와 금손이세요!딸이랑 같이 요렇게 시간보내면 정말 행복할것같아요이런 십자수가 있는줄은 몰랐는데저도 해보고싶어지네요ㅎㅎ2020년 마지막날 마무리 잘하시구2021년엔 더 건강하시고 매일매일 행복하세요.♥
4217,네에~^^ 딸이랑 같은 취미를 할 수 있다는건 행복이네요♡
4218,어디서 구매 한건가요????!!!!
4219,오옹!대박  저도 해봐야겠어용!
4220,블로그가 참 예뻐요^^편안하게 볼수있게 해놓으셨어요!!!보석 십자수 정말예쁘네요.저 남자 인데 저도 해보고 싶어요.보는내내 미키 완전 예쁘더라고요혹시 시간 괜찮으시면 제 블로그도 놀러오세요~~저도 재미있고 행복한 이야기로 만들고 있는중이에요꼭!!! 놀러오세요~~조심스럽게 이웃 추가하고 갈께요...
4221,"저 이런거 진짜좋아하는데, 한번해봐야겠어요ㅎㅎ"
4222,어디서 사셨어요?ㅜㅜ
4223,예약판매만 하는 상품으로 현재 구매불가입니다 양도를 찾아보세요 댓글 문의에 답하지 않습니다
4224,완전 귀엽네여 ㅎㅎ
4225,ㅎㅎ 그쵸? 라이언이라 더 좋아여
4226,정성스런 포스팅 잘 보구 가용ʕ•ﻌ•ʔ 오늘도 좋은 하루 되세요💛
4227,
4228,좋은정보 잘보고갑니다~풀렸던 날이 다시 쌀쌀해 졌네요~이번주도 활기찬 한주 되세요^^
4229,
4230,"안녕하세요 씨엘어닝입니다. 

위기는 준비된 사람과 그렇지 못한 사람을 가려내기 위해 존재한다는 말이 있는데요, 1년이 훌쩍 넘어버린 위기의 상황속에서 너무 힘들어 하지 말고 다시금 위기를 기회로 삼아 화이팅 할 수 있도록 버티고 이겨냅시다. 

한국인은 밥심이죠 즐점하세요~"
4231,
4232,와 완존 귀욤귀욤  하네요
4233,ㅎㅎ 그쳐 시선에 따라서 반짝거려서 너무 맘에 드네여
4234,오 요즘 이거 유행이던데 ㅎ오늘도 잘보고갑니다❤️❤️
4235,ㅋㅋㅋ 시간 때우기에 최고인거 같아요 시간 순삭잼
4236,앗 저희 조카가 하는거 저도같이 해본적있는네 무념무상ㅋㅋㅋ계속하게되는ㅋㅋㅋ머리복잡하고 그럴때도 하면 좋겠더라구용><
4237,맞아여 ㅎㅎ 아무생각없이 난 이 동그라미에 딱맞게 붙일테다라는 생각밖에 없어요 ㅋㅋㅋㅋㅋ
4238,시간가는줄모르겟어용ㅎㅎ넘귀여워여
4239,ㅎㅎ 네네 머리복잡할때 짱인듯해요
4240,저는 리틀프렌즈 (30×40)딸기핑크 와 카카오프렌즈 비치ㅡ블루 (40×50)했는데  너무 예쁘더라구요.
4241,ㅎㅎㅎ 그춍 할땐 힘들어도 완성후에는 성취감있어요!!
4242,반갑습니다. 글 잘읽었습니다. 좋네요. 좋은하루되세용~
4243,"티ㅡ 어떻게 되었나요..무사한가요🤣🤣🤣완성 후 코팅방법을 찾다 들어왔어요ㅋㅋㅋ핸폰케이스만 붙였는데, 옷에 붙일수도 있겠군요ㅋ"
4244,ㅋㅋㅋㅋ 의류용양면테이프로 옷에서 떨어지지는 않는데 보석들이 ㅋㅋㅋㅋㅋ 하나둘 떨어져나가요~~~ 보석에 메니큐어나 니스? 암튼 코팅같은거해주면 완벽한듯해요~~^^ 성공하시길~~~
4245,이거 다이소 어디든가도 없어서 어디서 사는지 알려 주실수 있나요^^  매장마다 달라서 찾기 힘들어요 고객센터에 연락해서 품명 말하면 살수 있다는데 전 그러긴 해서 바쁘고 멀고 같고 그러네요 ㅠㅠ 저희 동네 매장 있는데 매장이 작어서 없네요♡♡
4246,포스팅 하단에 지점 이름 적어두었어요
